"Candidati presidente e liste";"Voti";"%";"Sezioni pervenute";"Seggi";
"DECARO ANTONIO  ";"";"";"137.246";"68,62";"";"";"";"";
"";"PARTITO DEMOCRATICO - CANDIDATO PRESIDENTE DECARO";"";"53.311";"27,74";"2";
"";"DECARO PRESIDENTE";"";"22.975";"11,95";"2";
"";"PER LA PUGLIA DECARO CANDIDATO PRESIDENTE";"";"21.755";"11,32";"1";
"";"MOVIMENTO 5 STELLE";"";"16.684";"8,68";"1";
"";"AVANTI POPOLARI CON DECARO CANDIDATO PRESIDENTE";"";"10.401";"5,41";"0";
"";"ALLEANZA VERDI E SINISTRA";"";"6.678";"3,47";"0";
"";"FRATELLI D'ITALIA - GIORGIA MELONI";"";"31.444";"16,36";"2";
"";"FORZA ITALIA - BERLUSCONI - PPE - LOBUONO PRESIDENTE";"";"15.384";"8,00";"1";
"";"LEGA PUGLIA";"";"11.390";"5,93";"1";
"";"NOI MODERATI - CIVICI PER LOBUONO";"";"1.477";"0,77";"0";
"";"PUGLIA PACIFISTA E POPOLARE";"";"494";"0,26";"0";
"";"ALLEANZA CIVICA PER LA PUGLIA";"";"204";"0,11";"0";
